id,gamma_0,gamma_1,gamma_2,gamma_3,gamma_4,beta_0,beta_1,beta_2,beta_3,beta_4
15,np.float64(0.20702911913394928),np.float64(0.5157699584960938),np.float64(0.33575698733329773),np.float64(0.5177010893821716),np.float64(1.086897611618042),np.float64(0.3004385828971863),np.float64(0.320769727230072),np.float64(0.43977126479148865),np.float64(0.24680911004543304),np.float64(0.1385507881641388)
16,np.float64(0.20099569857120514),np.float64(0.5435289740562439),np.float64(0.4674970209598541),np.float64(0.42029130458831787),np.float64(0.8298015594482422),np.float64(0.28796765208244324),np.float64(0.22158218920230865),np.float64(0.37237289547920227),np.float64(0.2874714136123657),np.float64(0.13542737066745758)
17,np.float64(0.2567485272884369),np.float64(0.4795224070549011),np.float64(0.340938001871109),np.float64(1.0058647394180298),np.float64(0.9364206790924072),np.float64(0.3369640111923218),np.float64(0.500136137008667),np.float64(0.4010676443576813),np.float64(0.23388513922691345),np.float64(0.22794905304908752)
18,np.float64(0.20454981923103333),np.float64(0.481385201215744),np.float64(0.29541054368019104),np.float64(0.6029040217399597),np.float64(1.2607160806655884),np.float64(0.3155156672000885),np.float64(0.3824891448020935),np.float64(0.42096394300460815),np.float64(0.21231861412525177),np.float64(0.1332045942544937)
19,np.float64(0.27745574712753296),np.float64(0.6145455241203308),np.float64(0.32656070590019226),np.float64(1.2524871826171875),np.float64(1.2390369176864624),np.float64(0.2894684970378876),np.float64(0.4872954785823822),np.float64(0.4173417389392853),np.float64(0.16714437305927277),np.float64(0.21106494963169098)
20,np.float64(0.18649309873580933),np.float64(0.45598918199539185),np.float64(0.2763534188270569),np.float64(0.5316340327262878),np.float64(1.0684877634048462),np.float64(0.3152247965335846),np.float64(0.36102044582366943),np.float64(0.48608073592185974),np.float64(0.21269293129444122),np.float64(0.1282934844493866)
21,np.float64(0.19541136920452118),np.float64(0.4580650329589844),np.float64(0.288219153881073),np.float64(0.6878545880317688),np.float64(1.0586481094360352),np.float64(0.3316865861415863),np.float64(0.42672809958457947),np.float64(0.4405117630958557),np.float64(0.24502339959144592),np.float64(0.17853794991970062)
22,np.float64(0.20889131724834442),np.float64(0.5011452436447144),np.float64(0.30288413166999817),np.float64(0.6221575140953064),np.float64(1.141998291015625),np.float64(0.31462839245796204),np.float64(0.3811289966106415),np.float64(0.46290358901023865),np.float64(0.24771033227443695),np.float64(0.169002503156662)
23,np.float64(0.21145451068878174),np.float64(0.5221307277679443),np.float64(0.30625948309898376),np.float64(0.6137979626655579),np.float64(1.1720643043518066),np.float64(0.31138741970062256),np.float64(0.37916436791419983),np.float64(0.44607338309288025),np.float64(0.2532324194908142),np.float64(0.153548926115036)
24,np.float64(0.206980362534523),np.float64(0.5187917351722717),np.float64(0.31307122111320496),np.float64(0.8784015774726868),np.float64(1.2929319143295288),np.float64(0.31157994270324707),np.float64(0.4149686098098755),np.float64(0.41641148924827576),np.float64(0.24572350084781647),np.float64(0.19351930916309357)
25,np.float64(0.23186476528644562),np.float64(0.5258194208145142),np.float64(0.29597875475883484),np.float64(0.8566328287124634),np.float64(1.0321831703186035),np.float64(0.3069353401660919),np.float64(0.4666132926940918),np.float64(0.40059536695480347),np.float64(0.1508674919605255),np.float64(0.1909869909286499)
26,np.float64(0.23927545547485352),np.float64(0.5534968972206116),np.float64(0.3108886480331421),np.float64(1.0410666465759277),np.float64(1.1517935991287231),np.float64(0.30906352400779724),np.float64(0.4279952645301819),np.float64(0.4577348530292511),np.float64(0.20145289599895477),np.float64(0.1848297417163849)
27,np.float64(0.19193631410598755),np.float64(0.41187289357185364),np.float64(0.29991036653518677),np.float64(0.6321067810058594),np.float64(0.9288432002067566),np.float64(0.35751309990882874),np.float64(0.44333094358444214),np.float64(0.3889106214046478),np.float64(0.2336897999048233),np.float64(0.17677798867225647)
28,np.float64(0.186393603682518),np.float64(0.46144214272499084),np.float64(0.32578498125076294),np.float64(0.5243295431137085),np.float64(0.9663259983062744),np.float64(0.3254271149635315),np.float64(0.35019412636756897),np.float64(0.42164158821105957),np.float64(0.23568317294120789),np.float64(0.1293756663799286)
29,np.float64(0.20293836295604706),np.float64(0.49770620465278625),np.float64(0.3069286048412323),np.float64(0.5989983081817627),np.float64(1.0486247539520264),np.float64(0.3155393898487091),np.float64(0.38885679841041565),np.float64(0.4414806365966797),np.float64(0.1905311793088913),np.float64(0.1297798752784729)
30,np.float64(0.19097188115119934),np.float64(0.45504167675971985),np.float64(0.29372188448905945),np.float64(0.6346995830535889),np.float64(1.1282192468643188),np.float64(0.3292985260486603),np.float64(0.40338021516799927),np.float64(0.43403908610343933),np.float64(0.23508714139461517),np.float64(0.152531698346138)
31,np.float64(0.1849936693906784),np.float64(0.4503648281097412),np.float64(0.33992800116539),np.float64(0.5448803305625916),np.float64(1.0889174938201904),np.float64(0.3101388216018677),np.float64(0.3067314922809601),np.float64(0.4076177179813385),np.float64(0.24988961219787598),np.float64(0.13014546036720276)
32,np.float64(0.20179708302021027),np.float64(0.49898436665534973),np.float64(0.30188778042793274),np.float64(0.6934316754341125),np.float64(1.1528204679489136),np.float64(0.31726717948913574),np.float64(0.396793007850647),np.float64(0.4473606050014496),np.float64(0.26156580448150635),np.float64(0.17936114966869354)
33,np.float64(0.2216920107603073),np.float64(0.5401588678359985),np.float64(0.29795998334884644),np.float64(0.8045531511306763),np.float64(1.4077314138412476),np.float64(0.3023138642311096),np.float64(0.40746474266052246),np.float64(0.4376887083053589),np.float64(0.22086688876152039),np.float64(0.18562549352645874)
34,np.float64(0.21745148301124573),np.float64(0.46090197563171387),np.float64(0.3016335964202881),np.float64(0.8218051791191101),np.float64(0.8714105486869812),np.float64(0.32610824704170227),np.float64(0.4662853181362152),np.float64(0.4345143139362335),np.float64(0.1260475367307663),np.float64(0.13305601477622986)
35,np.float64(0.18291346728801727),np.float64(0.4109411835670471),np.float64(0.30536913871765137),np.float64(0.6450495719909668),np.float64(1.0539274215698242),np.float64(0.3546009361743927),np.float64(0.4138341248035431),np.float64(0.40055185556411743),np.float64(0.24908676743507385),np.float64(0.17890381813049316)
36,np.float64(0.1999478042125702),np.float64(0.5120341181755066),np.float64(0.3473818302154541),np.float64(0.5139111876487732),np.float64(0.8765664100646973),np.float64(0.3051500916481018),np.float64(0.3199767768383026),np.float64(0.41727349162101746),np.float64(0.2526235580444336),np.float64(0.176380917429924)
37,np.float64(0.21904098987579346),np.float64(0.5386992692947388),np.float64(0.29645082354545593),np.float64(0.727755606174469),np.float64(1.2389943599700928),np.float64(0.30795732140541077),np.float64(0.41996878385543823),np.float64(0.43583500385284424),np.float64(0.2581160366535187),np.float64(0.1836892068386078)
38,np.float64(0.15328551828861237),np.float64(0.3418583571910858),np.float64(0.3101878762245178),np.float64(0.40827450156211853),np.float64(0.7331920266151428),np.float64(0.3549827039241791),np.float64(0.31553468108177185),np.float64(0.39336687326431274),np.float64(0.2423708438873291),np.float64(0.138803631067276)
39,np.float64(0.2638649046421051),np.float64(0.6554208993911743),np.float64(0.28383755683898926),np.float64(1.6501996517181396),np.float64(0.9544751048088074),np.float64(0.2764829099178314),np.float64(0.4443680942058563),np.float64(0.4641259014606476),np.float64(0.16478176414966583),np.float64(0.17304590344429016)
40,np.float64(0.23395539820194244),np.float64(0.4802097678184509),np.float64(0.33952271938323975),np.float64(1.0156152248382568),np.float64(0.8092179298400879),np.float64(0.33024168014526367),np.float64(0.4738852083683014),np.float64(0.3905676603317261),np.float64(0.1784428060054779),np.float64(0.25822269916534424)
41,np.float64(0.219561368227005),np.float64(0.547113835811615),np.float64(0.3075138032436371),np.float64(0.7609018683433533),np.float64(1.159217119216919),np.float64(0.3034941256046295),np.float64(0.3897002339363098),np.float64(0.4568099081516266),np.float64(0.2078576683998108),np.float64(0.15161527693271637)
42,np.float64(0.1885245442390442),np.float64(0.3959304392337799),np.float64(0.3045929968357086),np.float64(0.5966155529022217),np.float64(0.8970908522605896),np.float64(0.359261691570282),np.float64(0.4438531994819641),np.float64(0.39077988266944885),np.float64(0.20698079466819763),np.float64(0.13269343972206116)
43,np.float64(0.24429452419281006),np.float64(0.6094560027122498),np.float64(0.3035200536251068),np.float64(0.8482450246810913),np.float64(1.1732664108276367),np.float64(0.30196288228034973),np.float64(0.44214317202568054),np.float64(0.44336456060409546),np.float64(0.24291813373565674),np.float64(0.20675471425056458)
44,np.float64(0.24871130287647247),np.float64(0.6226142644882202),np.float64(0.3184121251106262),np.float64(0.7693207859992981),np.float64(1.188405156135559),np.float64(0.2891215682029724),np.float64(0.3691771328449249),np.float64(0.48223599791526794),np.float64(0.19232940673828125),np.float64(0.18288740515708923)
45,np.float64(0.22358763217926025),np.float64(0.48895129561424255),np.float64(0.32219621539115906),np.float64(0.9467985033988953),np.float64(0.9039679169654846),np.float64(0.316339910030365),np.float64(0.47493183612823486),np.float64(0.4277549088001251),np.float64(0.13670788705348969),np.float64(0.17197653651237488)
46,np.float64(0.21034982800483704),np.float64(0.47530728578567505),np.float64(0.30621328949928284),np.float64(0.6928134560585022),np.float64(1.1334221363067627),np.float64(0.33330464363098145),np.float64(0.4240185022354126),np.float64(0.42414069175720215),np.float64(0.24001429975032806),np.float64(0.180194690823555)
47,np.float64(0.23584266006946564),np.float64(0.4839561879634857),np.float64(0.30876317620277405),np.float64(0.9174060225486755),np.float64(0.9831015467643738),np.float64(0.3280556797981262),np.float64(0.4970066249370575),np.float64(0.40224406123161316),np.float64(0.21823449432849884),np.float64(0.20604006946086884)
48,np.float64(0.17622974514961243),np.float64(0.40996384620666504),np.float64(0.3095170855522156),np.float64(0.47619929909706116),np.float64(0.9336311221122742),np.float64(0.32873088121414185),np.float64(0.34217727184295654),np.float64(0.42657774686813354),np.float64(0.2256968766450882),np.float64(0.1360294222831726)
49,np.float64(0.2353927195072174),np.float64(0.5787069797515869),np.float64(0.25531280040740967),np.float64(1.6880731582641602),np.float64(0.8210510015487671),np.float64(0.2977879047393799),np.float64(0.44290298223495483),np.float64(0.42140576243400574),np.float64(0.1790405809879303),np.float64(0.1365097314119339)
50,np.float64(0.2205454558134079),np.float64(0.5224297642707825),np.float64(0.33556973934173584),np.float64(1.0777521133422852),np.float64(0.8702187538146973),np.float64(0.3048091530799866),np.float64(0.4170610010623932),np.float64(0.4849355220794678),np.float64(0.13251131772994995),np.float64(0.16621345281600952)
51,np.float64(0.2526913285255432),np.float64(0.5626397132873535),np.float64(0.3255835473537445),np.float64(1.195570707321167),np.float64(1.0161769390106201),np.float64(0.29998067021369934),np.float64(0.4816669225692749),np.float64(0.4305433928966522),np.float64(0.15127848088741302),np.float64(0.18416838347911835)
52,np.float64(0.19865408539772034),np.float64(0.42023831605911255),np.float64(0.27557802200317383),np.float64(0.7059041857719421),np.float64(0.9571908712387085),np.float64(0.3425080478191376),np.float64(0.47243255376815796),np.float64(0.43025511503219604),np.float64(0.18221141397953033),np.float64(0.14772345125675201)
53,np.float64(0.2036314159631729),np.float64(0.5155324935913086),np.float64(0.30100932717323303),np.float64(0.7541763782501221),np.float64(1.2941421270370483),np.float64(0.30861297249794006),np.float64(0.40168431401252747),np.float64(0.42023012042045593),np.float64(0.23116850852966309),np.float64(0.15729361772537231)
54,np.float64(0.2138620764017105),np.float64(0.4637511074542999),np.float64(0.3116251230239868),np.float64(0.7203032970428467),np.float64(0.8992940783500671),np.float64(0.34050068259239197),np.float64(0.45326849818229675),np.float64(0.3961572051048279),np.float64(0.2147015929222107),np.float64(0.19091150164604187)
55,np.float64(0.23040878772735596),np.float64(0.5363398790359497),np.float64(0.3191961646080017),np.float64(0.7646306157112122),np.float64(1.0016380548477173),np.float64(0.30965933203697205),np.float64(0.38382688164711),np.float64(0.4557952880859375),np.float64(0.20282581448554993),np.float64(0.19829048216342926)
56,np.float64(0.18839415907859802),np.float64(0.4028567671775818),np.float64(0.323049932718277),np.float64(0.5614473223686218),np.float64(0.8815537691116333),np.float64(0.3559458553791046),np.float64(0.3921894431114197),np.float64(0.37403738498687744),np.float64(0.2115127593278885),np.float64(0.1492605209350586)
57,np.float64(0.21222807466983795),np.float64(0.46887698769569397),np.float64(0.2872621715068817),np.float64(0.627763569355011),np.float64(1.0435596704483032),np.float64(0.3350061774253845),np.float64(0.43524789810180664),np.float64(0.4355849027633667),np.float64(0.2620006501674652),np.float64(0.18549151718616486)
58,np.float64(0.2116360366344452),np.float64(0.4682396650314331),np.float64(0.2892583906650543),np.float64(0.7550946474075317),np.float64(1.1369993686676025),np.float64(0.3325121998786926),np.float64(0.44994649291038513),np.float64(0.4345841109752655),np.float64(0.2444567084312439),np.float64(0.19393974542617798)
59,np.float64(-0.6038239598274231),np.float64(0.0023339788895100355),np.float64(0.6215727925300598),np.float64(0.5658289194107056),np.float64(1.3656649589538574),np.float64(1.305505394935608),np.float64(0.2684241235256195),np.float64(0.7792128324508667),np.float64(0.153252512216568),np.float64(0.13039295375347137)
60,np.float64(0.24081705510616302),np.float64(0.4311719238758087),np.float64(0.3234773576259613),np.float64(0.9216797947883606),np.float64(0.9812052249908447),np.float64(0.34902238845825195),np.float64(0.5118608474731445),np.float64(0.4175918698310852),np.float64(0.23629571497440338),np.float64(0.2093813419342041)
61,np.float64(0.21501865983009338),np.float64(0.5786156058311462),np.float64(0.3594064712524414),np.float64(0.5843572020530701),np.float64(0.9126213192939758),np.float64(0.2974317967891693),np.float64(0.3331850469112396),np.float64(0.39606210589408875),np.float64(0.23660284280776978),np.float64(0.17329837381839752)
62,np.float64(0.19492466747760773),np.float64(0.46750354766845703),np.float64(0.27918049693107605),np.float64(0.6416235566139221),np.float64(0.9733066558837891),np.float64(0.3231683075428009),np.float64(0.42175546288490295),np.float64(0.43872368335723877),np.float64(0.19194123148918152),np.float64(0.14539077877998352)
63,np.float64(0.25020965933799744),np.float64(0.5264631509780884),np.float64(0.3085174262523651),np.float64(0.990470826625824),np.float64(1.0496470928192139),np.float64(0.3086032271385193),np.float64(0.4612596333026886),np.float64(0.43914005160331726),np.float64(0.1644233614206314),np.float64(0.17981073260307312)
64,np.float64(0.17703239619731903),np.float64(0.422985315322876),np.float64(0.3257042169570923),np.float64(0.47972333431243896),np.float64(0.8530321717262268),np.float64(0.32947787642478943),np.float64(0.31278541684150696),np.float64(0.40635478496551514),np.float64(0.2250475436449051),np.float64(0.15867014229297638)
65,np.float64(0.21000446379184723),np.float64(0.4901675879955292),np.float64(0.3043755888938904),np.float64(0.6113711595535278),np.float64(1.0707693099975586),np.float64(0.31899377703666687),np.float64(0.3911777436733246),np.float64(0.4446767270565033),np.float64(0.1934998482465744),np.float64(0.15836332738399506)
66,np.float64(-0.5393157005310059),np.float64(0.5818626880645752),np.float64(0.34297266602516174),np.float64(1.0566784143447876),np.float64(0.9650498628616333),np.float64(1.5909605026245117),np.float64(0.5723719596862793),np.float64(0.25945839285850525),np.float64(0.15449972450733185),np.float64(0.16141927242279053)
67,np.float64(-0.1840403974056244),np.float64(0.502240777015686),np.float64(0.5659971833229065),np.float64(-0.2903181314468384),np.float64(0.15599031746387482),np.float64(-0.1441483199596405),np.float64(0.21888457238674164),np.float64(1.3955118656158447),np.float64(-1.0854724645614624),np.float64(0.3533511757850647)
68,np.float64(0.2379227727651596),np.float64(0.5821778774261475),np.float64(0.31333261728286743),np.float64(0.9828360676765442),np.float64(1.1803436279296875),np.float64(0.2962856590747833),np.float64(0.42968279123306274),np.float64(0.46483781933784485),np.float64(0.1722322404384613),np.float64(0.16600826382637024)
69,np.float64(0.1949826031923294),np.float64(0.495476096868515),np.float64(0.3011167049407959),np.float64(0.5719035863876343),np.float64(1.0609323978424072),np.float64(0.30842921137809753),np.float64(0.3801979124546051),np.float64(0.42105334997177124),np.float64(0.23435078561306),np.float64(0.12310593575239182)
70,np.float64(0.21677349507808685),np.float64(0.505192756652832),np.float64(0.30884644389152527),np.float64(0.7387604713439941),np.float64(1.164076328277588),np.float64(0.3227972686290741),np.float64(0.42689433693885803),np.float64(0.4172273874282837),np.float64(0.2586333155632019),np.float64(0.17354580760002136)
71,np.float64(0.21251817047595978),np.float64(0.47827979922294617),np.float64(0.32898277044296265),np.float64(0.7136675715446472),np.float64(0.9384647011756897),np.float64(0.32777518033981323),np.float64(0.41175833344459534),np.float64(0.3915218114852905),np.float64(0.27234524488449097),np.float64(0.21699218451976776)
72,np.float64(0.17966407537460327),np.float64(0.4103632867336273),np.float64(0.2859639525413513),np.float64(0.5779449939727783),np.float64(1.0052748918533325),np.float64(0.3452666401863098),np.float64(0.42985132336616516),np.float64(0.41093143820762634),np.float64(0.21951226890087128),np.float64(0.1303013563156128)
73,np.float64(0.2861262857913971),np.float64(0.6066702008247375),np.float64(0.37279435992240906),np.float64(1.2407137155532837),np.float64(1.2261099815368652),np.float64(0.28649404644966125),np.float64(0.483676016330719),np.float64(0.43050137162208557),np.float64(0.20757509768009186),np.float64(0.28203320503234863)
74,np.float64(0.24316562712192535),np.float64(0.6264796853065491),np.float64(0.3312252461910248),np.float64(0.7196334600448608),np.float64(1.2914249897003174),np.float64(0.2890223264694214),np.float64(0.37912723422050476),np.float64(0.43392184376716614),np.float64(0.24274758994579315),np.float64(0.16026876866817474)
75,np.float64(0.042359817773103714),np.float64(0.6313214302062988),np.float64(-0.5765007734298706),np.float64(0.42260509729385376),np.float64(0.7306641936302185),np.float64(0.9877697825431824),np.float64(1.5694845914840698),np.float64(-0.8872315883636475),np.float64(0.15909278392791748),np.float64(0.14736181497573853)
76,np.float64(0.2080370932817459),np.float64(0.49489063024520874),np.float64(0.29145851731300354),np.float64(0.6986861824989319),np.float64(1.1707544326782227),np.float64(0.3183656632900238),np.float64(0.41085946559906006),np.float64(0.45121172070503235),np.float64(0.22670970857143402),np.float64(0.1640302687883377)
77,np.float64(0.2016269713640213),np.float64(0.4752025008201599),np.float64(0.3203617036342621),np.float64(0.6903046369552612),np.float64(1.136224627494812),np.float64(0.3263064920902252),np.float64(0.39113783836364746),np.float64(0.4243467450141907),np.float64(0.24272768199443817),np.float64(0.16123411059379578)
78,np.float64(0.16423021256923676),np.float64(0.3881647288799286),np.float64(0.26429229974746704),np.float64(0.6289058327674866),np.float64(1.256421685218811),np.float64(0.3634811043739319),np.float64(0.4342128336429596),np.float64(0.37229496240615845),np.float64(0.16469138860702515),np.float64(0.10356901586055756)
79,np.float64(0.19652889668941498),np.float64(0.4235476851463318),np.float64(0.3148418962955475),np.float64(0.6788705587387085),np.float64(0.7967098355293274),np.float64(0.3478357195854187),np.float64(0.42184004187583923),np.float64(0.3914768397808075),np.float64(0.20787417888641357),np.float64(0.18786683678627014)
80,np.float64(0.18863661587238312),np.float64(0.4599362909793854),np.float64(0.27568548917770386),np.float64(0.47880464792251587),np.float64(1.0409265756607056),np.float64(0.3084787130355835),np.float64(0.3591243028640747),np.float64(0.47130391001701355),np.float64(0.19275034964084625),np.float64(0.10853991657495499)
81,np.float64(0.2201693207025528),np.float64(0.482030987739563),np.float64(0.3088953197002411),np.float64(1.0185933113098145),np.float64(0.9434948563575745),np.float64(0.3204971253871918),np.float64(0.4847256541252136),np.float64(0.42075014114379883),np.float64(0.16088512539863586),np.float64(0.16102641820907593)
82,np.float64(0.21438558399677277),np.float64(0.49863728880882263),np.float64(0.3078562021255493),np.float64(0.6910125613212585),np.float64(1.1728471517562866),np.float64(0.3204505741596222),np.float64(0.4033789038658142),np.float64(0.42941707372665405),np.float64(0.21433544158935547),np.float64(0.16674529016017914)
83,np.float64(0.217682883143425),np.float64(0.44179409742355347),np.float64(0.2951928675174713),np.float64(0.808934211730957),np.float64(0.8195862770080566),np.float64(0.3359336256980896),np.float64(0.4694487154483795),np.float64(0.40087807178497314),np.float64(0.18255281448364258),np.float64(0.20469051599502563)
84,np.float64(0.20738492906093597),np.float64(0.5393844842910767),np.float64(0.3284973204135895),np.float64(0.5853479504585266),np.float64(1.4091860055923462),np.float64(0.298213392496109),np.float64(0.33172938227653503),np.float64(0.4545181691646576),np.float64(0.23165854811668396),np.float64(0.14051282405853271)
85,np.float64(0.20909994840621948),np.float64(0.5980365872383118),np.float64(0.4567607045173645),np.float64(0.33131662011146545),np.float64(0.7006812691688538),np.float64(0.2824128270149231),np.float64(0.20435339212417603),np.float64(0.36016836762428284),np.float64(0.29209959506988525),np.float64(0.14067839086055756)
86,np.float64(0.2145434021949768),np.float64(0.5206787586212158),np.float64(0.3006724715232849),np.float64(0.6703532338142395),np.float64(1.1479158401489258),np.float64(0.3083728849887848),np.float64(0.38733959197998047),np.float64(0.4375571310520172),np.float64(0.23759044706821442),np.float64(0.15486524999141693)
87,np.float64(0.2258281260728836),np.float64(0.5971171855926514),np.float64(0.3327433168888092),np.float64(0.5833106637001038),np.float64(1.2663143873214722),np.float64(0.29103416204452515),np.float64(0.3426229655742645),np.float64(0.4576262831687927),np.float64(0.2252177894115448),np.float64(0.14815910160541534)
88,np.float64(0.24659894406795502),np.float64(0.5266042351722717),np.float64(0.34720978140830994),np.float64(1.0227519273757935),np.float64(1.130444884300232),np.float64(0.32322901487350464),np.float64(0.46847161650657654),np.float64(0.4052404761314392),np.float64(0.20982493460178375),np.float64(0.19090282917022705)
89,np.float64(0.20869922637939453),np.float64(0.5127222537994385),np.float64(0.3028772175312042),np.float64(0.6301639080047607),np.float64(1.2031536102294922),np.float64(0.3062121570110321),np.float64(0.37990596890449524),np.float64(0.4588709771633148),np.float64(0.22468550503253937),np.float64(0.13363109529018402)
90,np.float64(0.24142886698246002),np.float64(0.6245384216308594),np.float64(0.3260456919670105),np.float64(0.8712570071220398),np.float64(1.2811068296432495),np.float64(0.28569507598876953),np.float64(0.37139829993247986),np.float64(0.4814658463001251),np.float64(0.19777747988700867),np.float64(0.17776145040988922)
91,np.float64(0.19886262714862823),np.float64(0.45969507098197937),np.float64(0.2936308979988098),np.float64(0.6106418967247009),np.float64(0.9437398314476013),np.float64(0.3261493444442749),np.float64(0.4098457396030426),np.float64(0.46191471815109253),np.float64(0.16638986766338348),np.float64(0.13777010142803192)
92,np.float64(0.19752991199493408),np.float64(0.41203874349594116),np.float64(0.2756872773170471),np.float64(0.6749188899993896),np.float64(0.9324726462364197),np.float64(0.3457281291484833),np.float64(0.4705348014831543),np.float64(0.4421074092388153),np.float64(0.2174144834280014),np.float64(0.1742691993713379)
93,np.float64(0.18725258111953735),np.float64(0.43133142590522766),np.float64(0.28592485189437866),np.float64(0.5838102698326111),np.float64(1.1094640493392944),np.float64(0.32789528369903564),np.float64(0.3997867703437805),np.float64(0.4382231533527374),np.float64(0.22434517741203308),np.float64(0.11745084077119827)
94,np.float64(0.26693636178970337),np.float64(0.5955732464790344),np.float64(0.3260743319988251),np.float64(1.1602745056152344),np.float64(1.22908353805542),np.float64(0.28800657391548157),np.float64(0.45343056321144104),np.float64(0.40397438406944275),np.float64(0.19696912169456482),np.float64(0.1892375648021698)
95,np.float64(0.1934286206960678),np.float64(0.4626026749610901),np.float64(0.30096080899238586),np.float64(0.5395464301109314),np.float64(1.1373412609100342),np.float64(0.3118949830532074),np.float64(0.3474680781364441),np.float64(0.4589557349681854),np.float64(0.2614528238773346),np.float64(0.14772310853004456)
96,np.float64(0.18437722325325012),np.float64(0.44564342498779297),np.float64(0.31414201855659485),np.float64(0.44948700070381165),np.float64(1.0166517496109009),np.float64(0.3138701617717743),np.float64(0.31713131070137024),np.float64(0.4155332148075104),np.float64(0.2406948059797287),np.float64(0.12006738781929016)
